00185,倨,거,거만할 거,,좋지않은 의미 문자,10,10,12,목,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00186,据,거,근거 거,,,12,11,14,목,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00187,祛,거,떨 거,,좋지않은 의미 문자,10,10,11,목,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00188,踞,거,걸터앉을 거,,,15,15,18,목,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00189,鋸,거,톱 거,,,16,16,18,목,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00190,建,건,세울 건,,,9,9,12,목화,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00191,䢖,건,세울 건,,,13,10,14,목화,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00192,乾,건,하늘 건,,불용문자,11,11,15,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00193,漧,건,하늘 건,,,15,14,18,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00194,件,건,조건 건,,,6,6,6,목화,화,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00195,健,건,궅셀 건,,,11,11,14,목화,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00196,巾,건,수건 건,,,3,3,5,목화,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00197,虔,건,정성 건,,,10,10,13,목화,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00198,楗,건,세울 건,,,13,13,16,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00199,鍵,건,열쇠 건,,,17,17,20,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00200,愆,건,허물 건,,좋지않은 의미 문자,13,13,16,목화,화,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00201,腱,건,힘줄 건,,,15,13,18,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00202,蹇,건,절뚝발 건,,좋지않은 의미 문자,17,17,19,목화,토,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00203,騫,건,이지러질 건,,좋지않은 의미 문자,20,20,23,목화,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00204,搴,건,빼낼 건,,,14,14,16,목화,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00205,湕,건,물 이름 건,,,13,12,15,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00206,踺,건,밟을 건,,,16,16,20,목화,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00207,褰,건,걷어올릴 건,,,16,16,18,목화,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00208,傑,걸,호걸 걸,,불용문자,12,12,14,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
